feature,avg_importance,consistency,models_used
h2h_total_away,0.01847026861893634,0.3782318801902924,6
away_odds,0.015029045442740122,0.4633114106689482,6
away_implied_prob,0.014799284283071756,0.7270201999828437,6
h2h_total_home,0.014550773659721017,0.4289602113598767,6
away_goals_against_avg,0.014071045288195213,0.2831450372523484,6
home_implied_prob,0.013674574360872308,0.5170529245578335,6
home_goals_for_avg,0.01202248673265179,0.7894711592327034,6
draw_implied_prob,0.011989671116073927,0.7442719377772302,6
btts_likelihood,0.011547122849151492,0.5534537630625187,6
home_goals_against_avg,0.011543649093558392,0.7979133823284427,6
away_goal_difference,0.011325126281008124,0.5923761013191665,6
draw_odds,0.011007699882611632,0.7108762475960733,6
away_goals_against_total,0.010991117296119532,0.7651504479167832,6
home_goal_difference,0.010945781677340468,0.6871896255797484,6
market_entropy,0.010831463383510709,0.8027082259863202,6
expected_total_goals,0.010789723756412664,0.5811966612281918,6
home_draws_total,0.010681548854336143,0.6817701046505177,6
away_last5_goals_against,0.010550678397218386,0.1871288003106225,6
home_for_over15_rate,0.01040643189723293,0.8734129804358778,6
home_for_over25_rate,0.010143278477092585,0.8378469496993897,6
away_form_win_rate,0.00990514379615585,0.7501920848974466,6
away_against_over05_rate,0.009699201444163918,0.8504472443859066,6
h2h_def_away,0.009679491554076472,0.6056037391343648,6
h2h_advantage_home,0.00965107069350779,0.7146695529613427,6
bookmaker_margin,0.009499297477304935,0.8516268781669,6
h2h_att_away,0.009413909943153461,0.7112829715412906,6
away_against_over35_rate,0.009405776392668486,0.9107763058618443,6
h2h_avg_total_goals,0.009341229684650898,0.8000932498515142,6
away_against_over15_rate,0.009322641650214791,0.731679360415167,6
away_wins_total,0.009247609258939823,0.7697267431755699,6
away_fail_to_score_rate,0.009220340133955082,0.6974845826008256,6
home_against_over25_rate,0.009145945310592651,0.7682222849651742,6
home_form_points_rate,0.009034493860478202,0.8626642554855077,6
home_against_over15_rate,0.008990892519553503,0.830874060580844,6
h2h_home_avg_goals,0.008969954370210568,0.7785636526801144,6
home_goals_against_total,0.008967536346366009,0.8266313315638465,6
h2h_form_home,0.008821847615763545,0.8035147709978974,6
home_home_win_rate,0.008816485526040196,0.8260614977715836,6
away_for_over15_rate,0.008777233849590024,0.7905183769658651,6
h2h_home_wins,0.008770048075045148,0.7513767106758124,6
home_for_over35_rate,0.008765286765992641,0.8702645464866525,6
h2h_goals_away,0.008761652124424776,0.7596875889652744,6
home_last5_goals_for_avg,0.008754223895569643,0.7797121514687166,6
away_form_points_rate,0.00874139399578174,0.9500259554759732,6
away_for_over35_rate,0.008710957442720732,0.8818545268291043,6
h2h_away_avg_goals,0.008709742532422146,0.9095389404569763,6
home_for_over05_rate,0.00864231555412213,0.8290081079972755,6
home_attack_vs_away_defense,0.008600533862287799,0.8402050094423961,6
away_against_over25_rate,0.00859950901940465,0.782504920892446,6
away_last5_def,0.008540327195078135,0.9638027649152862,6
home_against_over05_rate,0.008538218447938561,0.8195484854156487,6
home_biggest_loss_streak,0.00853755014638106,0.8710989435501966,6
h2h_def_home,0.008508614419649044,0.7407969239870322,6
away_draws_total,0.008506433417399725,0.4782435528984944,6
home_against_over35_rate,0.00850013984988133,0.9072756209705515,6
away_goals_against_away,0.008486949528257052,0.8419124977758098,6
h2h_att_home,0.008477533779417476,0.8871295041326488,6
away_form_momentum,0.008390640762324134,0.7565585212629857,6
home_losses_total,0.008385079447180033,0.821130869371963,6
h2h_total_matches,0.008373182189340392,0.7299104281951277,6
away_played_total,0.008367171278223395,0.8602122275739676,6
home_odds,0.008338033609713117,0.7744739477828251,6
h2h_form_away,0.008333978864053885,0.8096019035045194,6
home_form_win_rate,0.008320741821080446,0.8859274066407992,6
home_played_total,0.008314580578977862,0.6703268727792571,6
away_for_over25_rate,0.008242074865847826,0.9080765896359584,6
h2h_draws,0.008240628987550735,0.7579848814031029,6
home_fail_to_score_rate,0.008236796517545978,0.840377618723635,6
h2h_goals_home,0.008225420722737908,0.941350558953786,6
home_form_recent_3,0.008195395038152734,0.7084439379879084,6
away_for_over05_rate,0.008137262193486094,0.880873981898043,6
away_away_win_rate,0.008112538528318206,0.9231354030874447,6
home_goals_against_home,0.008071207674220204,0.5768841594145176,6
home_form_recent_5,0.008070557533452908,0.9184540617336194,6
home_last5_att,0.008042854179317752,0.7572256554344193,6
home_last5_goals_against,0.007991881264994541,0.834571431079812,6
home_last5_def,0.007957697923605641,0.9257656671927699,6
home_goals_for_home,0.007952042079220215,0.7600638545102072,6
home_form_momentum,0.007914536632597446,0.8842439549523049,6
h2h_away_wins,0.007896258806188902,0.7267436479431452,6
away_attack_vs_home_defense,0.00782563149308165,0.7912812841952711,6
h2h_btts_rate,0.0077280081653346615,0.8563442202382,6
away_goals_for_avg,0.0077222532127052546,0.873611783063137,6
away_goals_for_total,0.007711675638953845,0.919792612475582,6
home_wins_total,0.007707268310089906,0.7741650711140668,6
away_goals_for_away,0.00770524734010299,0.8821146784501218,6
away_form_consistency,0.0076695218837509556,0.8489833703225896,6
h2h_advantage_away,0.007630311107883851,0.7959833725265312,6
home_goals_for_total,0.007628431660123169,0.6984059056047913,6
away_last5_form,0.007594115411241849,0.748546806027987,6
h2h_over25_rate,0.0074737391745050745,0.8147873244922584,6
home_biggest_draw_streak,0.0074206332210451365,0.7293313598349207,6
away_losses_total,0.007396012467021744,0.8596838403538348,6
home_biggest_win_streak,0.0073591341109325486,0.7846082305551043,6
away_biggest_draw_streak,0.00730487013546129,0.830184621667104,6
away_last5_goals_against_avg,0.00729333966349562,0.8771173304272613,6
away_last5_goals_for_avg,0.007291435108830531,0.6720184072347894,6
league_id,0.007180645441015561,0.8117071538495777,6
away_form_recent_5,0.007115064499278863,0.6672546041639811,6
home_last5_goals_against_avg,0.007066708756610751,0.8274330674471551,6
away_last5_att,0.007008765979359548,0.8813233314274067,6
away_last5_goals_for,0.006994216858098905,0.8561625741291143,6
home_last5_goals_for,0.006944112479686737,0.7992722422720435,6
away_form_recent_3,0.006938915389279525,0.22819586691409854,6
away_wins_away,0.006754062681769331,0.5321310536143322,6
home_form_consistency,0.006680664528782169,0.7801281403927256,6
home_last5_form,0.006662912123526136,0.747726524348201,6
away_biggest_loss_streak,0.006462502176873386,0.7240898174674468,6
home_wins_home,0.006380670393506686,0.594967169438433,6
away_biggest_win_streak,0.0063356582541018724,0.7564207938112393,6
away_played_away,0.006124230761391421,0.6952393871083196,6
home_played_home,0.005808463979822894,0.43317878746233984,6
away_last5_played,0.003577294080362966,0.0047921251800076,6
has_odds,0.0019349083886481822,-0.41012938547268485,6
home_last5_played,0.00102579237621588,-0.35322189256480274,6
home_form_wins,0.0,1.0,6
home_form_draws,0.0,1.0,6
home_form_losses,0.0,1.0,6
home_last5_scoring_rate,0.0,1.0,6
home_win_rate,0.0,1.0,6
away_last5_scoring_rate,0.0,1.0,6
away_form_wins,0.0,1.0,6
away_form_losses,0.0,1.0,6
away_form_draws,0.0,1.0,6
away_win_rate,0.0,1.0,6
